ID,Label,Comment,SubPropertyOf,Domain,Range,Source,Creator,Contributor,Created,Modified,SeeAlso
accrualPeriodicity,Report Frequency,"Frequency of indicator update in report, e.g. daily or monthly. This is used with the reporting style to determine the exact frequency and lag of indicator reports.Note that datasets have their own -Frequency of data updates- field to state how often they are updated.",http://purl.org/dc/terms/accrualPeriodicity,https://w3id.org/hse/ontology/phi#Indicator,http://www.w3.org/2004/02/skos/core#Concept,OAHP Data Catalogue Schema Proposal v05.13,"Rob Brennan, ADAPT UCD",,2025-08-18,2025-08-29,
indicatorType,Indicator Type,"Specifies if the indicator has both a numerator and a denominator, is coverage, accumulated or qualitative type",,https://w3id.org/hse/ontology/phi#Indicator,http://www.w3.org/2004/02/skos/core#Concept,OAHP Data Catalogue Schema Proposal v05.13,"Rob Brennan, ADAPT UCD",,2025-08-18,2025-08-29,
status,Status,An internal prioritisation process status for the dataset or indicator,,https://w3id.org/hse/ontology/phi#Indicator,http://www.w3.org/2004/02/skos/core#Concept,OAHP Data Catalogue Schema Proposal v05.13,"Rob Brennan, ADAPT UCD",,2025-08-18,2025-08-29,https://w3id.org/hse/ontology/phi#StatusCodes
numeratorSource,Numerator Source Dataset,"Identifier, e.g. URL, for the dataset providing a numerator data element. If there are multiple numerator data elements then multiple datasets must be provided as a list.",,https://w3id.org/hse/ontology/phi#Indicator,http://www.w3.org/ns/dcat#Dataset,OAHP Data Catalogue Schema Proposal v05.13,"Rob Brennan, ADAPT UCD",,2025-08-18,2025-08-29,
denominatorSource,Denominator Source Dataset,"Identifier, e.g. URL, for the dataset providing a denominator data element. If there are multiple denominator data elements then multiple datasets must be provided as a list.",,https://w3id.org/hse/ontology/phi#Indicator,http://www.w3.org/ns/dcat#Dataset,OAHP Data Catalogue Schema Proposal v05.13,"Rob Brennan, ADAPT UCD",,2025-08-18,2025-08-29,
domain,Domain,The high-level category the indicator falls under (e.g. Demography).,,https://w3id.org/hse/ontology/phi#Indicator,http://www.w3.org/2004/02/skos/core#Concept,OAHP Data Catalogue Schema Proposal v05.13,"Rob Brennan, ADAPT UCD",,2025-08-18,2025-08-29,http://healthdataportal.eu/ns/health#healthTheme
subdomain,Subdomain,A more specific category under the domain (e.g. Population numbers).,,https://w3id.org/hse/ontology/phi#Indicator,http://www.w3.org/2004/02/skos/core#Concept,OAHP Data Catalogue Schema Proposal v05.13,"Rob Brennan, ADAPT UCD",,2025-08-18,2025-08-29,http://healthdataportal.eu/ns/health#healthTheme
otherIdentifier,Other Identifiers,Alternative identifiers for this indicator from other data publishers or coding schemes (as URIs),http://www.w3.org/2002/07/owl#sameAs,https://w3id.org/hse/ontology/phi#Indicator,http://www.w3.org/2000/01/rdf-schema#Resource,OAHP Data Catalogue Schema Proposal v05.13,"Rob Brennan, ADAPT UCD",,2025-08-18,2025-08-29,
memberOfGroup,Member of Indicator Group,Indicates that this indicator is a member of an indicator group.,,https://w3id.org/hse/ontology/phi#Indicator,https://w3id.org/hse/ontology/phi#IndicatorGroup,OAHP Data Catalogue Schema Proposal v05.13,"Rob Brennan, ADAPT UCD",,2026-03-01,2026-03-01,
